proj_res,mcmc_res,gaus_res
"{'acc': 0.7430520464881253, 'tn': 953, 'fp': 1004, 'fn': 13, 'tp': 1988, 'prec': 0.6644385026715761, 'rec': 0.9935032483708471}","{'acc': 0.5818595250126326, 'tn': 402, 'fp': 1555, 'fn': 100, 'tp': 1901, 'prec': 0.5500578703687787, 'rec': 0.9500249875014992}","{'bw': 10, 'thresh': 2.5320285677303026e-11, 'acc': 0.6606872157655381, 'tn': 1843, 'fp': 114, 'fn': 1229, 'tp': 772, 'prec': 0.8713318284326035, 'rec': 0.38580709644984607}"
"{'acc': 0.8182735991923271, 'tn': 1463, 'fp': 498, 'fn': 222, 'tp': 1779, 'prec': 0.7812911725920892, 'rec': 0.889055472259425}","{'acc': 0.7390206966178697, 'tn': 1531, 'fp': 430, 'fn': 604, 'tp': 1397, 'prec': 0.7646414887752346, 'rec': 0.6981509245342422}","{'bw': 10, 'thresh': 2.526963244263974e-11, 'acc': 0.6945986875315497, 'tn': 1961, 'fp': 0, 'fn': 1210, 'tp': 791, 'prec': 0.9999999999873578, 'rec': 0.3953023488236117}"
"{'acc': 0.7611601513240858, 'tn': 1286, 'fp': 678, 'fn': 269, 'tp': 1732, 'prec': 0.7186721991671424, 'rec': 0.8655672163874785}","{'acc': 0.921311475409836, 'tn': 1825, 'fp': 139, 'fn': 173, 'tp': 1828, 'prec': 0.9293340111798204, 'rec': 0.9135432283812417}","{'bw': 10, 'thresh': 2.526963244263974e-11, 'acc': 0.8617906683480454, 'tn': 1964, 'fp': 0, 'fn': 548, 'tp': 1453, 'prec': 0.9999999999931177, 'rec': 0.7261369315306041}"
"{'acc': 0.8496354035705306, 'tn': 1386, 'fp': 590, 'fn': 8, 'tp': 1993, 'prec': 0.7715834301170283, 'rec': 0.9960019989955223}","{'acc': 0.5076690973095298, 'tn': 740, 'fp': 1236, 'fn': 722, 'tp': 1279, 'prec': 0.5085487077514571, 'rec': 0.6391804097919082}","{'bw': 10, 'thresh': 2.5263315034529077e-11, 'acc': 0.6555192356047272, 'tn': 1878, 'fp': 98, 'fn': 1272, 'tp': 729, 'prec': 0.8814993953944196, 'rec': 0.3643178410776396}"
"{'acc': 0.7387796268280383, 'tn': 929, 'fp': 1036, 'fn': 0, 'tp': 2001, 'prec': 0.6588738887037904, 'rec': 0.9999999999950026}","{'acc': 0.6417044881492688, 'tn': 575, 'fp': 1390, 'fn': 31, 'tp': 1970, 'prec': 0.5863095238077789, 'rec': 0.9845077461220165}","{'bw': 10, 'thresh': 1.0078604510374842e-12, 'acc': 0.713565305093293, 'tn': 1965, 'fp': 0, 'fn': 1136, 'tp': 865, 'prec': 0.9999999999884392, 'rec': 0.4322838580688042}"
"{'acc': 0.766590966439566, 'tn': 1041, 'fp': 921, 'fn': 4, 'tp': 1997, 'prec': 0.6843728581196561, 'rec': 0.9980009994952624}","{'acc': 0.5897047691143074, 'tn': 1341, 'fp': 621, 'fn': 1005, 'tp': 996, 'prec': 0.615955473094521, 'rec': 0.4977511244352936}","{'bw': 10, 'thresh': 2.52759530110346e-11, 'acc': 0.5566490032803432, 'tn': 1951, 'fp': 11, 'fn': 1746, 'tp': 255, 'prec': 0.958646616505314, 'rec': 0.12743628185843361}"
"{'acc': 0.7751389590702374, 'tn': 1127, 'fp': 830, 'fn': 60, 'tp': 1941, 'prec': 0.7004691447105721, 'rec': 0.9700149924989006}","{'acc': 0.8605356240525518, 'tn': 1466, 'fp': 491, 'fn': 61, 'tp': 1940, 'prec': 0.7980255039045742, 'rec': 0.9695152423739655}","{'bw': 10, 'thresh': 1.0081124791572735e-12, 'acc': 0.775644264780192, 'tn': 1957, 'fp': 0, 'fn': 888, 'tp': 1113, 'prec': 0.9999999999910154, 'rec': 0.5562218890526925}"
"{'acc': 0.8291698208427959, 'tn': 1286, 'fp': 676, 'fn': 1, 'tp': 2000, 'prec': 0.7473841554531114, 'rec': 0.9995002498700675}","{'acc': 0.8564219025990412, 'tn': 1888, 'fp': 74, 'fn': 495, 'tp': 1506, 'prec': 0.9531645569559927, 'rec': 0.7526236881521609}","{'bw': 10, 'thresh': 1.0083646333541615e-12, 'acc': 0.7158718142821094, 'tn': 1962, 'fp': 0, 'fn': 1126, 'tp': 875, 'prec': 0.9999999999885714, 'rec': 0.43728135931815454}"
"{'acc': 0.6874526634688211, 'tn': 960, 'fp': 1000, 'fn': 238, 'tp': 1763, 'prec': 0.6380745566390226, 'rec': 0.8810594702604645}","{'acc': 0.8406967937389548, 'tn': 1484, 'fp': 476, 'fn': 155, 'tp': 1846, 'prec': 0.7950043066287898, 'rec': 0.9225387306300723}","{'bw': 10, 'thresh': 4.0197765225024744e-14, 'acc': 0.7101741984347387, 'tn': 1960, 'fp': 0, 'fn': 1148, 'tp': 853, 'prec': 0.9999999999882767, 'rec': 0.4262868565695838}"
"{'acc': 0.7925478348439073, 'tn': 1147, 'fp': 824, 'fn': 0, 'tp': 2001, 'prec': 0.7083185840682892, 'rec': 0.9999999999950026}","{'acc': 0.9217019133937563, 'tn': 1690, 'fp': 281, 'fn': 30, 'tp': 1971, 'prec': 0.8752220248628987, 'rec': 0.9850074962469515}","{'bw': 10, 'thresh': 1.6052636750507087e-15, 'acc': 0.7079556898288016, 'tn': 1971, 'fp': 0, 'fn': 1160, 'tp': 841, 'prec': 0.9999999999881094, 'rec': 0.42028985507036337}"
