proj_acc,mcmc_acc,gaus_acc
0.803530895334174,0.8191677175283733,0.7349306431273644
0.8169440242057489,0.7728189611699445,0.6636409480584973
0.8112348178137652,0.867661943319838,0.7887145748987854
0.8176544766708701,0.9311475409836065,0.6552332912988651
0.842727730246603,0.6087065928535481,0.6789129340714646
0.7690752905507833,0.6063668519454269,0.6003031834259727
0.835478173101186,0.638405248549079,0.7983850618218521
0.89281210592686,0.6756620428751576,0.7031525851197982
0.8417610062893082,0.5348427672955974,0.6578616352201259
0.8422115627366826,0.8437263317344105,0.7306235799040646
