proj_acc,mcmc_acc,gaus_acc
0.8383838383838383,0.9015151515151515,0.670959595959596
0.86078184110971,0.4973518284993695,0.7235813366960908
0.8923270440251573,0.4422641509433962,0.5033962264150944
0.8479251012145749,0.8319838056680162,0.5063259109311741
0.8129260287806109,0.9283009341075485,0.5602120676596819
0.8682092555331992,0.647635814889336,0.5032696177062375
0.8849557522123894,0.8245259165613148,0.6490518331226296
0.7938873452892145,0.5872695125031574,0.505430664309169
0.772692793931732,0.7474083438685208,0.7122629582806574
0.8634872571284381,0.8660105980317941,0.5049205147615443
