proj_res,mcmc_res,gaus_res
"{'acc': 0.7847011144883486, 'tn': 1100, 'fp': 847, 'fn': 3, 'tp': 1998, 'prec': 0.7022847100151063, 'rec': 0.9985007496201974}","{'acc': 0.9156534954407295, 'tn': 1796, 'fp': 151, 'fn': 182, 'tp': 1819, 'prec': 0.9233502538024196, 'rec': 0.9090454772568264}","{'bw': 10, 'thresh': 1.0083646333541615e-12, 'acc': 0.49316109422492405, 'tn': 1947, 'fp': 0, 'fn': 2001, 'tp': 0, 'prec': 0.0, 'rec': 0.0}"
"{'acc': 0.9119939653004777, 'tn': 1653, 'fp': 323, 'fn': 27, 'tp': 1974, 'prec': 0.8593818023471512, 'rec': 0.9865067466217566}","{'acc': 0.8858436007040483, 'tn': 1724, 'fp': 252, 'fn': 202, 'tp': 1799, 'prec': 0.8771331057977713, 'rec': 0.8990504747581257}","{'bw': 10, 'thresh': 6.332573977646119e-10, 'acc': 0.5876288659793815, 'tn': 1753, 'fp': 223, 'fn': 1417, 'tp': 584, 'prec': 0.7236679058150722, 'rec': 0.29185407296205973}"
"{'acc': 0.8288311032567534, 'tn': 1303, 'fp': 657, 'fn': 21, 'tp': 1980, 'prec': 0.7508532423179718, 'rec': 0.9895052473713668}","{'acc': 0.7828831103256754, 'tn': 1298, 'fp': 662, 'fn': 198, 'tp': 1803, 'prec': 0.731440162268838, 'rec': 0.9010494752578658}","{'bw': 10, 'thresh': 2.525700078433294e-11, 'acc': 0.8167129512749306, 'tn': 1952, 'fp': 8, 'fn': 718, 'tp': 1283, 'prec': 0.9938032532843238, 'rec': 0.6411794102916483}"
"{'acc': 0.7809187279151943, 'tn': 1180, 'fp': 781, 'fn': 87, 'tp': 1914, 'prec': 0.7102040816300178, 'rec': 0.9565217391256546}","{'acc': 0.8652195860676426, 'tn': 1844, 'fp': 117, 'fn': 417, 'tp': 1584, 'prec': 0.9312169312114568, 'rec': 0.7916041978970935}","{'bw': 10, 'thresh': 4.0227928630646416e-14, 'acc': 0.662796567390207, 'tn': 1961, 'fp': 0, 'fn': 1336, 'tp': 665, 'prec': 0.9999999999849624, 'rec': 0.3323338330817974}"
"{'acc': 0.8926496590047992, 'tn': 1553, 'fp': 405, 'fn': 20, 'tp': 1981, 'prec': 0.8302598491163862, 'rec': 0.9900049974963019}","{'acc': 0.9161404395049255, 'tn': 1849, 'fp': 109, 'fn': 223, 'tp': 1778, 'prec': 0.9422363539960666, 'rec': 0.8885557221344901}","{'bw': 10, 'thresh': 6.337326972875756e-10, 'acc': 0.6979035109876232, 'tn': 1932, 'fp': 26, 'fn': 1170, 'tp': 831, 'prec': 0.9696616102570634, 'rec': 0.41529235382101304}"
"{'acc': 0.8991427130610187, 'tn': 1601, 'fp': 364, 'fn': 36, 'tp': 1965, 'prec': 0.843709746668769, 'rec': 0.9820089954973413}","{'acc': 0.7937468482097831, 'tn': 1180, 'fp': 785, 'fn': 33, 'tp': 1968, 'prec': 0.714856520157229, 'rec': 0.9835082458721465}","{'bw': 10, 'thresh': 2.52759530110346e-11, 'acc': 0.39183055975794256, 'tn': 1508, 'fp': 457, 'fn': 1955, 'tp': 46, 'prec': 0.09145129224470276, 'rec': 0.022988505747011553}"
"{'acc': 0.8851300176723049, 'tn': 1511, 'fp': 449, 'fn': 6, 'tp': 1995, 'prec': 0.8162847790473966, 'rec': 0.9970014992453924}","{'acc': 0.7323908104014137, 'tn': 1946, 'fp': 14, 'fn': 1046, 'tp': 955, 'prec': 0.9855521155729046, 'rec': 0.47726136931295726}","{'bw': 10, 'thresh': 4.021786913361449e-14, 'acc': 0.4950770007573845, 'tn': 1960, 'fp': 0, 'fn': 2000, 'tp': 1, 'prec': 0.9999999900000002, 'rec': 0.0004997501249350338}"
"{'acc': 0.8334174659262998, 'tn': 1344, 'fp': 617, 'fn': 43, 'tp': 1958, 'prec': 0.7603883495116102, 'rec': 0.9785107446227961}","{'acc': 0.6219081272084805, 'tn': 753, 'fp': 1208, 'fn': 290, 'tp': 1711, 'prec': 0.5861596437115925, 'rec': 0.8550724637638427}","{'bw': 10, 'thresh': 1.008869320357844e-12, 'acc': 0.49495204442200913, 'tn': 1961, 'fp': 0, 'fn': 2001, 'tp': 0, 'prec': 0.0, 'rec': 0.0}"
"{'acc': 0.7572006063668519, 'tn': 998, 'fp': 959, 'fn': 2, 'tp': 1999, 'prec': 0.6757944557110352, 'rec': 0.9990004997451325}","{'acc': 0.9330469934310258, 'tn': 1799, 'fp': 158, 'fn': 107, 'tp': 1894, 'prec': 0.9230019493132408, 'rec': 0.946526736626954}","{'bw': 10, 'thresh': 6.337326972875756e-10, 'acc': 0.7473471450227387, 'tn': 1957, 'fp': 0, 'fn': 1000, 'tp': 1001, 'prec': 0.99999999999001, 'rec': 0.5002498750599688}"
"{'acc': 0.8618255168935955, 'tn': 1447, 'fp': 518, 'fn': 30, 'tp': 1971, 'prec': 0.7918842908766899, 'rec': 0.9850074962469515}","{'acc': 0.6828038325769037, 'tn': 710, 'fp': 1255, 'fn': 3, 'tp': 1998, 'prec': 0.614202274821352, 'rec': 0.9985007496201974}","{'bw': 10, 'thresh': 4.0237993161202005e-14, 'acc': 0.696923852748361, 'tn': 1965, 'fp': 0, 'fn': 1202, 'tp': 799, 'prec': 0.9999999999874843, 'rec': 0.399300349823092}"
