proj_acc,mcmc_acc,gaus_acc
0.9483586869495596,0.7097678142514011,0.5006004803843074
0.9336407377706496,0.5882117080994387,0.5014033680834001
0.9450901803607215,0.6665330661322645,0.5012024048096193
0.9639495293410775,0.7196074504306028,0.500901261766473
0.8939667267989577,0.7161755862898377,0.501302866305873
0.9283139767721266,0.7202643171806168,0.5008009611533841
0.9421189665531744,0.7454436210694972,0.500901261766473
0.9295436349079264,0.7191753402722177,0.5006004803843074
0.7789347216659992,0.7168602322787345,0.5008009611533841
0.8066586442037705,0.8080625752105897,0.5016044925792218
