proj_acc,mcmc_acc,gaus_acc
0.7928614397433327,0.6597152596751554,0.5440144375375977
0.9457022640753356,0.8002404327790023,0.5011019835704268
0.9492985971943888,0.7496993987975952,0.5012024048096193
0.9206412825651302,0.7038076152304609,0.5012024048096193
0.4971751412429379,0.5028248587570622,0.5028248587570621
0.8800080128205128,0.7191506410256411,0.5010016025641026
0.9402925265477861,0.6305349629332799,0.5011019835704268
0.9212740384615384,0.766426282051282,0.5010016025641026
0.9263791374122368,0.6786359077231695,0.5017051153460381
0.8559983977568596,0.754856799519327,0.500901261766473
