proj_res,mcmc_res,gaus_res
"{'acc': 0.8327455919395466, 'tn': 1307, 'fp': 662, 'fn': 2, 'tp': 1999, 'prec': 0.7512213453560646, 'rec': 0.9990004997451325}","{'acc': 0.9896725440806046, 'tn': 1969, 'fp': 0, 'fn': 41, 'tp': 1960, 'prec': 0.999999999994898, 'rec': 0.9795102448726661}","{'acc': 0.32695214105793446, 'tn': 37, 'fp': 1932, 'fn': 740, 'tp': 1261, 'prec': 0.3949264015020516, 'rec': 0.6301849075430775}"
"{'acc': 0.8638769851273003, 'tn': 1426, 'fp': 540, 'fn': 0, 'tp': 2001, 'prec': 0.7874852420275975, 'rec': 0.9999999999950026}","{'acc': 0.8626165868414419, 'tn': 1847, 'fp': 119, 'fn': 426, 'tp': 1575, 'prec': 0.929752066110214, 'rec': 0.7871064467726782}","{'acc': 0.2893874464330729, 'tn': 116, 'fp': 1850, 'fn': 969, 'tp': 1032, 'prec': 0.3580846634269324, 'rec': 0.5157421289329548}"
"{'acc': 0.709246661627614, 'tn': 1380, 'fp': 588, 'fn': 566, 'tp': 1435, 'prec': 0.7093425605501269, 'rec': 0.7171414292817735}","{'acc': 0.8929201310153692, 'tn': 1546, 'fp': 422, 'fn': 3, 'tp': 1998, 'prec': 0.8256198347073321, 'rec': 0.9985007496201974}","{'acc': 0.37112622826908537, 'tn': 93, 'fp': 1875, 'fn': 621, 'tp': 1380, 'prec': 0.42396313363925053, 'rec': 0.6896551724103466}"
"{'acc': 0.9158690176322418, 'tn': 1644, 'fp': 325, 'fn': 9, 'tp': 1992, 'prec': 0.8597324125987927, 'rec': 0.9955022488705872}","{'acc': 0.963727959697733, 'tn': 1903, 'fp': 66, 'fn': 78, 'tp': 1923, 'prec': 0.9668174962244002, 'rec': 0.9610194902500699}","{'acc': 0.30327455919395463, 'tn': 39, 'fp': 1930, 'fn': 836, 'tp': 1165, 'prec': 0.3764135702734203, 'rec': 0.5822088955493143}"
"{'acc': 0.7721646880525386, 'tn': 1253, 'fp': 705, 'fn': 197, 'tp': 1804, 'prec': 0.719011558386931, 'rec': 0.9015492253828009}","{'acc': 0.5117453902500632, 'tn': 240, 'fp': 1718, 'fn': 215, 'tp': 1786, 'prec': 0.5097031963455774, 'rec': 0.8925537231339703}","{'acc': 0.38241980298055067, 'tn': 380, 'fp': 1578, 'fn': 867, 'tp': 1134, 'prec': 0.4181415929188122, 'rec': 0.5667166416763283}"
"{'acc': 0.7562326869806094, 'tn': 1261, 'fp': 709, 'fn': 259, 'tp': 1742, 'prec': 0.710730314154587, 'rec': 0.8705647176368289}","{'acc': 0.9529085872576177, 'tn': 1791, 'fp': 179, 'fn': 8, 'tp': 1993, 'prec': 0.9175874769755176, 'rec': 0.9960019989955223}","{'acc': 0.4646184840090657, 'tn': 69, 'fp': 1901, 'fn': 225, 'tp': 1776, 'prec': 0.4830024476462252, 'rec': 0.8875562218846199}"
"{'acc': 0.8132560483870968, 'tn': 1226, 'fp': 741, 'fn': 0, 'tp': 2001, 'prec': 0.7297592997785203, 'rec': 0.9999999999950026}","{'acc': 0.7404233870967742, 'tn': 1475, 'fp': 492, 'fn': 538, 'tp': 1463, 'prec': 0.7483375959041006, 'rec': 0.7311344327799544}","{'acc': 0.29460685483870963, 'tn': 441, 'fp': 1526, 'fn': 1273, 'tp': 728, 'prec': 0.3229813664581944, 'rec': 0.36381809095270456}"
"{'acc': 0.8946703713058853, 'tn': 1613, 'fp': 345, 'fn': 72, 'tp': 1929, 'prec': 0.8482849604184333, 'rec': 0.9640179909996801}","{'acc': 0.8540035362465269, 'tn': 1958, 'fp': 0, 'fn': 578, 'tp': 1423, 'prec': 0.9999999999929726, 'rec': 0.711144427782553}","{'acc': 0.20181864107097747, 'tn': 0, 'fp': 1958, 'fn': 1202, 'tp': 799, 'prec': 0.2898077620591592, 'rec': 0.399300349823092}"
"{'acc': 0.8682150971976773, 'tn': 1587, 'fp': 373, 'fn': 149, 'tp': 1852, 'prec': 0.8323595505580569, 'rec': 0.9255372313796825}","{'acc': 0.45569300681646047, 'tn': 497, 'fp': 1463, 'fn': 693, 'tp': 1308, 'prec': 0.47203175748656795, 'rec': 0.6536731634150241}","{'acc': 0.34814440797778334, 'tn': 325, 'fp': 1635, 'fn': 947, 'tp': 1054, 'prec': 0.3919672740781258, 'rec': 0.5267366316815256}"
"{'acc': 0.8155241935483871, 'tn': 1565, 'fp': 402, 'fn': 330, 'tp': 1671, 'prec': 0.8060781476082679, 'rec': 0.8350824587664414}","{'acc': 0.6680947580645161, 'tn': 1527, 'fp': 440, 'fn': 877, 'tp': 1124, 'prec': 0.7186700767217477, 'rec': 0.5617191404269779}","{'acc': 0.4198588709677419, 'tn': 336, 'fp': 1631, 'fn': 671, 'tp': 1330, 'prec': 0.44917257683063433, 'rec': 0.6646676661635949}"
